metric,train_cv_mean,train_cv_std,train_full,boughter
accuracy,0.6623708907281184,0.050974662947141716,0.9101796407185628,0.603411513859275
brier,0.21741700022187924,0.020271411169910186,0.11665071019938734,0.26270155170175036
f1,0.7077209368147139,0.04851899452292494,0.9206349206349206,0.6059322033898306
pr_auc,0.7634663632172333,0.10957910638823334,0.9799643062378985,0.5715120146308925
roc_auc,0.7252354944616971,0.06247276310694904,0.9706677677385926,0.6215251141552511
sensitivity,0.7379850570322173,0.072838177232663,0.925531914893617,0.6529680365296804
specificity,0.5861670736670737,0.10655027993607612,0.8904109589041096,0.56
