metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.6485005553498704,0.0711452205814546,0.615595075239398,0.6839945280437757,0.6484268125854993,0.6,0.5,0.7125,0.6,0.5058823529411764,0.38823529411764707,0.6235294117647059,0.5058823529411764,0.6432160804020101,0.6120603015075377,0.6743718592964824,0.6432160804020101
brier,0.22032177136816475,0.021456015482829757,0.20861466075993843,0.23281255269216783,0.22059218245412915,0.23178372218877136,0.19376345623442565,0.2726106177460126,0.23052209462391487,0.3112208344839345,0.2650840849728285,0.36441990687761794,0.31114831584882663,0.23476962302341928,0.22243339116522834,0.24845971203710002,0.23442968676914422
ece,0.142359308640607,0.025962826825333008,0.03654320433189689,0.07947135032250273,0.05630743459149839,0.22311890253292943,0.16734211657490305,0.32692583443851475,0.24457104123185955,0.2338403580737866,0.18314813359609183,0.36183974218673154,0.2740328780840373,0.11589233565918966,0.09434407732247414,0.14721980703945736,0.12016336076401374
f1,0.6692106517303673,0.06302906597606694,0.6300627651828977,0.7073512608966377,0.6700964757884149,0.5428571428571428,0.38235294117647056,0.6744595479855879,0.5405405405405406,0.6181818181818182,0.4998762376237624,0.7258064516129032,0.6194690265486725,0.7058823529411765,0.6752528629670986,0.7333360927152317,0.7062707034667774
f1_negative,0.6203365853252568,0.09130560255449327,0.5824247353632882,0.6647961637537498,0.6246418338108882,0.6444444444444445,0.5333333333333333,0.758655172413793,0.6451612903225806,0.3,0.14035087719298245,0.44163059163059154,0.2962962962962963,0.5466155810983397,0.5073786698886135,0.5882388548639795,0.5473149461157372
f1_positive,0.6692106517303673,0.06302906597606694,0.6300627651828977,0.7073512608966377,0.6700964757884149,0.5428571428571428,0.38235294117647056,0.6744595479855879,0.5405405405405406,0.6181818181818182,0.4998762376237624,0.7258064516129032,0.6194690265486725,0.7058823529411765,0.6752528629670986,0.7333360927152317,0.7062707034667774
mce,0.605208314016974,0.3044945491397271,0.19714267694481274,0.9666666666666668,0.712936507936508,0.39137973137973137,0.328524111105539,0.9104273504273503,0.5436448104740788,0.9475438596491228,0.7016659504132488,0.9475438596491228,0.9475438596491228,0.26409089556029086,0.2022745758451993,0.4960162322502414,0.2905750356935693
positive_rate,0.5088485746019992,0.04446746364359588,0.47332421340629277,0.5444596443228454,0.5088919288645691,0.3875,0.275,0.4875,0.3875,0.5882352941176471,0.4823529411764706,0.6941176470588235,0.5882352941176471,0.5025125628140703,0.471356783919598,0.5306532663316583,0.5025125628140703
pr_auc,0.7053014376368829,0.06663875134756593,0.6212997522228587,0.7332042541428623,0.6776849034781232,0.5543841312698939,0.4071935381339504,0.7448411719241986,0.576532743355447,0.5187366041887966,0.40188226491572204,0.6678929433804535,0.5331340558085502,0.6633918690069762,0.6187799616980864,0.709653958346833,0.6649576085701437
precision,0.6447426024743459,0.05944925401520684,0.593216133238003,0.6873849407081848,0.642512077294686,0.48717948717948717,0.32554996857322444,0.6341463414634146,0.4857142857142857,0.5666666666666667,0.4332758620689655,0.6949152542372882,0.5690981432360742,0.6025459688826026,0.56675556685684,0.6362526752273944,0.6025459688826026
roc_auc,0.7062460413227565,0.06372620573125315,0.6629454652238816,0.7368334831049576,0.70041441438978,0.6984858459512837,0.5793917024975314,0.8125404000698812,0.7025228515723907,0.4128571428571428,0.28145959595959597,0.542151039864683,0.409052257266543,0.6917313131313131,0.658029081236212,0.721382344353992,0.6924593151695915
sensitivity,0.7037476547842402,0.10475909501626533,0.6531071557451867,0.74625888752272,0.6992186175227734,0.6129032258064516,0.4410845588235294,0.7879734848484847,0.6129032258064516,0.68,0.5365635888501743,0.8125578703703703,0.68,0.852,0.8194683474182706,0.8814490088114114,0.852328806953023
specificity,0.5939692982456141,0.1016739204529155,0.5457063711911357,0.6414218727401442,0.5972597597597598,0.5918367346938775,0.46296296296296297,0.7272727272727273,0.5918367346938775,0.2571428571428571,0.11535714285714287,0.41029411764705875,0.2571428571428571,0.43232323232323233,0.39191451920782633,0.47669673429207327,0.4327592697157915
