metric,train_cv_mean,train_cv_std,train_full,boughter
accuracy,0.597236382067169,0.05613500615290379,0.8400556328233658,0.6294820717131474
brier,0.23367540834680542,0.022607844294367983,0.16003733485456037,0.22416695914445892
f1,0.5972936050248641,0.05771971335871873,0.8418156808803301,0.6618181818181819
pr_auc,0.6672961712354463,0.0717545504936682,0.9290513128193743,0.7150213504673885
roc_auc,0.6563533248763784,0.07885359306546572,0.9223594792489047,0.6821839080459771
sensitivity,0.5924486644008549,0.08014871131809476,0.8360655737704918,0.674074074074074
specificity,0.6050108877526192,0.10033815820278043,0.8441926345609065,0.5775862068965517
