variant,metric,train_cv_mean,train_cv_std,jain,shehata,harvey
vh_full,accuracy,0.5860719028123734,0.0905358529871413,0.6,0.6206896551724138,0.518
vh_full,brier,0.2363406592705793,0.0228382327562859,0.2223178653679808,0.2425417770590277,0.3043397703520931
vh_full,ece,0.2050115723528013,0.0382633383405326,0.1278354282713461,0.1403695444059098,0.2424434012521621
vh_full,f1,0.6428030895843629,0.0837349487004539,0.5555555555555556,0.736,0.6680440771349863
vh_full,f1_negative,0.4943073557855942,0.1322122514955248,0.6363636363636364,0.3265306122448979,0.1204379562043795
vh_full,f1_positive,0.6428030895843629,0.0837349487004539,0.5555555555555556,0.736,0.6680440771349863
vh_full,mce,0.6439773934664867,0.1865259383789084,0.2235368537257075,0.3305031240735169,0.3319648393447018
vh_full,pr_auc,0.7267051157847735,0.0969260073741599,0.605495974383617,0.6742572295666868,0.576776448946828
vh_full,precision,0.6257213000963,0.0864917911334232,0.4878048780487805,0.6216216216216216,0.509453781512605
vh_full,roc_auc,0.6422864446008825,0.1141558648342281,0.6978275181040158,0.6015795206971678,0.5967
vh_full,sensitivity,0.6811265772766788,0.1503541199375966,0.6451612903225806,0.9019607843137256,0.97
vh_full,specificity,0.4768416768416768,0.1315218734744241,0.5714285714285714,0.2222222222222222,0.066
cdrh1,accuracy,0.5854945094903019,0.0788510121109161,0.3559322033898305,0.5357142857142857,0.4690553745928338
cdrh1,brier,0.2425670529356033,0.0404847097626428,0.3265354416003598,0.2922446821243628,0.3218751561758975
cdrh1,ece,0.2319303501230727,0.0472094361193104,0.3321051379261743,0.2832819230586105,0.229248001947576
cdrh1,f1,0.666659594813753,0.0809708680569838,0.4722222222222222,0.6486486486486487,0.5809768637532133
cdrh1,f1_negative,0.4018346624136097,0.1597029742605303,0.1739130434782608,0.3157894736842105,0.2755555555555555
cdrh1,f1_positive,0.666659594813753,0.0809708680569838,0.4722222222222222,0.6486486486486487,0.5809768637532133
cdrh1,mce,0.6637493529571028,0.1852647808287811,0.5703245106104332,0.9529056153619144,0.4955593972823611
cdrh1,pr_auc,0.6685895521810182,0.1299429892787328,0.489707110750454,0.4950878144613672,0.4599104105759846
cdrh1,precision,0.6129553379496171,0.1050640967463043,0.3333333333333333,0.5217391304347826,0.4675862068965517
cdrh1,roc_auc,0.5926973026973026,0.080863849583204,0.5137844611528821,0.5318877551020409,0.4718044757649326
cdrh1,sensitivity,0.7427913752913754,0.0895589501959668,0.8095238095238095,0.8571428571428571,0.7669683257918553
cdrh1,specificity,0.3527960927960928,0.1588128412435936,0.1052631578947368,0.2142857142857142,0.1941544885177453
cdrh2,accuracy,0.601403589138512,0.1085379070075092,0.4864864864864865,0.6271186440677966,0.4787878787878787
cdrh2,brier,0.245986640788892,0.0499623938547997,0.2903683148089372,0.3254973498700739,0.2944917318575911
cdrh2,ece,0.2500268412215491,0.0695753201834121,0.3104705247374544,0.3531311653220188,0.1913240491707372
cdrh2,f1,0.6781263453129318,0.0931248987415346,0.4722222222222222,0.717948717948718,0.4956011730205278
cdrh2,f1_negative,0.4227490745969007,0.205494692207481,0.5,0.45,0.4608150470219436
cdrh2,f1_positive,0.6781263453129318,0.0931248987415346,0.4722222222222222,0.717948717948718,0.4956011730205278
cdrh2,mce,0.7145382112588032,0.1740975089374287,0.8129342414614628,0.7311309523809524,0.6050733740330873
cdrh2,pr_auc,0.723566768343767,0.1408849401914581,0.4902029569212743,0.666141195501661,0.3984382854815391
cdrh2,precision,0.6316701861650711,0.1201559868752306,0.3695652173913043,0.5714285714285714,0.4023809523809524
cdrh2,roc_auc,0.6236768786768787,0.1267497603096297,0.5881410256410257,0.671264367816092,0.5068903678698837
cdrh2,sensitivity,0.7505914918414919,0.1190791903572995,0.6538461538461539,0.9655172413793104,0.6450381679389313
cdrh2,specificity,0.3868772893772894,0.2147868955573056,0.3958333333333333,0.3,0.3693467336683417
cdrh3,accuracy,0.6227061708225804,0.115621769525086,0.525,0.5365853658536586,0.5358224016145308
cdrh3,brier,0.2469670886478207,0.0389240907562791,0.2749514184489965,0.2725431327859796,0.2626674275884912
cdrh3,ece,0.2449014932372739,0.0507064852505169,0.2367201094663312,0.1766466801007624,0.0960903406351325
cdrh3,f1,0.6908336570739241,0.1147494455307445,0.5,0.6041666666666666,0.5602294455066922
cdrh3,f1_negative,0.4929458459160975,0.1170535142783293,0.5476190476190477,0.4411764705882353,0.5085470085470085
cdrh3,f1_positive,0.6908336570739241,0.1147494455307445,0.5,0.6041666666666666,0.5602294455066922
cdrh3,mce,0.6897346703634305,0.1864754823859319,0.7376508044097614,0.7374309489947835,0.3842135319982126
cdrh3,pr_auc,0.6929754738710023,0.121369665967473,0.4612298221202566,0.6351528525840683,0.5341070664205552
cdrh3,precision,0.6440829401936212,0.1485384139124138,0.4222222222222222,0.5918367346938775,0.5346715328467153
cdrh3,roc_auc,0.6235625485625487,0.1291750372706004,0.5296247531270573,0.4957446808510637,0.5450687129858175
cdrh3,sensitivity,0.7590485902985904,0.1141038075185191,0.6129032258064516,0.6170212765957447,0.5883534136546185
cdrh3,specificity,0.4518772893772894,0.1614950749252711,0.4693877551020408,0.4285714285714285,0.4827586206896552
