metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.6826666666666666,0.05588347665422189,0.6486027944111777,0.7186127744510978,0.6826347305389222,0.603411513859275,0.5543710021321961,0.6461620469083156,0.603411513859275
brier,0.21552543327955198,0.02355547633612083,0.20006238812749302,0.2296827875783067,0.21474702714390234,0.2627033215268317,0.2440735736987094,0.28251787117180327,0.2620830551205807
ece,0.16580484958305014,0.03713525423134507,0.05088744496273008,0.10567480669729992,0.07605531951557014,0.12046857806601746,0.1023925495026429,0.17900067477219986,0.14258451942509026
f1,0.7211245272428706,0.07266398796664315,0.6903330986228202,0.7670269433765556,0.7274294670846395,0.6059322033898306,0.5538749881163109,0.6586706811051514,0.6029737396331756
f1_negative,0.610360091302764,0.07697294243073007,0.5676381270218779,0.6697049245871627,0.6199547511312218,0.6008583690987125,0.549125021529982,0.6469937205651491,0.6042553191489362
f1_positive,0.7211245272428706,0.07266398796664315,0.6903330986228202,0.7670269433765556,0.7274294670846395,0.6059322033898306,0.5538749881163109,0.6586706811051514,0.6029737396331756
mce,0.5733023835730284,0.18724960808188337,0.14859409560356904,0.4866712627512653,0.26668162690888525,0.4009426847662142,0.2818792720726836,0.9009426847662142,0.40174265576274637
positive_rate,0.5627450980392158,0.10267222881221694,0.5249500998003992,0.6068363273453095,0.562874251497006,0.4669509594882729,0.42638592750533044,0.5075692963752666,0.46375266524520253
pr_auc,0.754283218073703,0.1093939890637915,0.689761845917433,0.7959297978421428,0.7400291023492607,0.5715186569048679,0.5099254144014115,0.636184887232067,0.5753544173169218
precision,0.7032352735826366,0.11870094859138264,0.6602849336455894,0.7533368055555555,0.7043607263001734,0.5652173913043478,0.504341589451176,0.6269957983193277,0.5634624496564795
roc_auc,0.7227767136668738,0.0694508825437726,0.6685800825346861,0.7532381901438008,0.7089193208038482,0.6215433789954338,0.5717932897120694,0.6681935398225115,0.6244723878062051
sensitivity,0.7520097193466759,0.07833765133994101,0.7122156196943973,0.8072114340032591,0.756904761904762,0.6529680365296804,0.5903408417308832,0.7193537978359542,0.6523780363339458
specificity,0.6010613795053155,0.14211970824708395,0.521494695236114,0.646517991438158,0.5902206320810972,0.56,0.5019907293461318,0.6163623827909542,0.5643546460455174
