family,accuracy,roc_auc,pr_auc,sensitivity,specificity
influenza,0.6294820717131474,0.6821839080459771,0.7150213504673885,0.674074074074074,0.5775862068965517
hiv,0.652,0.6748893732250182,0.7543021923717707,0.5238095238095238,0.8349514563106796
mouse_iga,0.603411513859275,0.6215251141552511,0.5715120146308925,0.6529680365296804,0.56
