roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier,fold
0.678592725104353,0.7399269131087369,0.5975609756097561,0.611764705882353,0.6046511627906976,0.5897435897435898,0.23821979476723631,1
0.789505068574836,0.7556714271358858,0.7439024390243902,0.7741935483870968,0.8372093023255814,0.6410256410256411,0.18854342651902792,2
0.670840787119857,0.7175688114326089,0.5853658536585366,0.6046511627906976,0.6046511627906976,0.5641025641025641,0.24983688613042881,3
0.7722122838401907,0.7604550108243568,0.7439024390243902,0.7529411764705882,0.7441860465116279,0.7435897435897436,0.1978930021271281,4
0.7131782945736433,0.7371426989832116,0.6219512195121951,0.6352941176470588,0.627906976744186,0.6153846153846154,0.2312310796447476,5
0.7078115682766846,0.7646251931698973,0.6951219512195121,0.6666666666666666,0.5813953488372093,0.8205128205128205,0.23068396658017545,6
0.7400119260584377,0.782165655862832,0.6829268292682927,0.6829268292682927,0.6511627906976745,0.717948717948718,0.21316106705183246,7
0.6495726495726496,0.6584078124044819,0.5925925925925926,0.5822784810126582,0.5476190476190477,0.6410256410256411,0.2622966439568015,8
0.7606837606837606,0.8099049680991537,0.6790123456790124,0.6578947368421053,0.5952380952380952,0.7692307692307693,0.20392619830339895,9
0.6477411477411478,0.6211614434384847,0.6296296296296297,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.2575579940394527,10
