,mean,std
roc_auc,0.7130150211545561,0.05124284339266903
pr_auc,0.734702993445965,0.05671143416307296
accuracy,0.6571966275218308,0.06009624230747273
f1,0.6611468567824661,0.061980841230244964
sensitivity,0.643687707641196,0.08586857911345021
specificity,0.6717948717948719,0.08529897401623691
brier,0.227335005912023,0.02561996693367061
