family,accuracy,roc_auc,pr_auc,sensitivity,specificity
influenza,0.5856573705179283,0.6291826309067688,0.6653217840929496,0.6370370370370371,0.5258620689655172
hiv,0.56,0.617825771085133,0.7331455980209034,0.3877551020408163,0.8058252427184466
mouse_iga,0.605543710021322,0.6592876712328767,0.598948476095212,0.5616438356164384,0.644
