mae,rmse,r2,spearman,pearson,pearson_dispersion,variance_to_mean,fold,model,status,alpha
2.739319559756151,3.3216493519898793,-0.1520422553595655,0.27295183288674263,0.2553914887588369,5.331946899715136,3.1979558520831852,1,poisson,ok,
2.9926700953602805,3.7855968301775427,-0.4963374942333796,0.27295183288674263,0.24178166138910856,7.162916075569519,3.1979558520831852,1,negative_binomial,ok,2.528188657876553
2.7096032381810202,3.2518787947012675,-0.14384335250263547,0.250078258323276,0.2706445710770576,5.41868430761022,3.0096879946716024,2,poisson,ok,
3.059963845499676,3.847485311436849,-0.6012229035748613,0.250078258323276,0.2571892830290788,7.9411393338220835,3.0096879946716024,2,negative_binomial,ok,2.509747511923046
2.5697637150263932,3.0831099073728305,-0.008247751304436779,0.3317585959589929,0.33326543715610546,5.088589856198134,3.164322723908217,3,poisson,ok,
2.742338267935871,3.459984283275989,-0.2698063674433664,0.3317585959589929,0.3184387045636217,7.005387279680815,3.164322723908217,3,negative_binomial,ok,2.6043693096837797
2.708568238036557,3.25928345137114,-0.16306098991756923,0.26195149044376953,0.25353680384339866,5.217752826103253,3.0394171426550427,4,poisson,ok,
2.965258792016788,3.737155268327502,-0.5291162729133041,0.26195149044376953,0.2406307700377866,7.125897934276026,3.0394171426550427,4,negative_binomial,ok,2.5663391638524775
2.9824387975510525,3.543062433384822,-0.2700796942616246,0.16508123426847424,0.1497626347581755,6.853926513296571,3.0838466321243523,5,poisson,ok,
3.2354995016622574,3.9486573301454735,-0.5775104891270126,0.16508123426847424,0.14160621341957103,9.425355964789118,3.0838466321243523,5,negative_binomial,ok,2.4683425214314245
