feature,coef,abs_coef
CDRH1_charge,1.002358969752187,1.002358969752187
CDRH1_pI,-0.6805718277184766,0.6805718277184766
CDRH2_pI,0.5602706838537984,0.5602706838537984
CDRH3_pI,0.4326459026598377,0.4326459026598377
CDRH3_net_charge,0.4203597188423038,0.4203597188423038
CDRH3_length,0.41976388854832347,0.41976388854832347
CDRH1_net_charge,-0.39130863128372695,0.39130863128372695
CDRH2_net_charge,-0.3896435687983554,0.3896435687983554
CDRH2_charge,0.36901217975670847,0.36901217975670847
CDRH1_length,0.2962785966588506,0.2962785966588506
CDRH2_hydropathy,0.2880683477794977,0.2880683477794977
CDRH1_aromaticity,-0.2256187084032309,0.2256187084032309
CDRH3_hydropathy,0.1736668598756847,0.1736668598756847
CDRH3_charge,-0.1581380928937877,0.1581380928937877
CDRH3_aromaticity,-0.11616996112685646,0.11616996112685646
CDRH1_hydropathy,0.06452082995676382,0.06452082995676382
CDRH2_aromaticity,-0.05173493994316836,0.05173493994316836
CDRH2_length,0.04468704801351832,0.04468704801351832
