metric,train_cv_mean,train_cv_std,train_full,boughter
accuracy,0.642573508608141,0.051026454428684385,0.8430555555555556,0.652
brier,0.2233452569369955,0.018754760692284347,0.14224921516258363,0.2610630997071713
f1,0.6177948798511821,0.06724161742539046,0.8300751879699249,0.6390041493775933
pr_auc,0.6913097802960927,0.08152291215988208,0.9340744206084233,0.7543021923717707
roc_auc,0.7000660414184638,0.05270432824825869,0.9334691735358588,0.6748893732250182
sensitivity,0.5991903939758008,0.09302635238449374,0.7796610169491526,0.5238095238095238
specificity,0.6867018846439578,0.0569995621861662,0.9043715846994536,0.8349514563106796
