variant,metric,train_cv_mean,train_cv_std,jain,shehata,harvey
descriptors_full_vh,accuracy,0.5992598367432428,0.0689355710377788,0.5875,0.5977011494252874,0.609
descriptors_full_vh,brier,0.2356469543592697,0.0170653081485333,0.2425928883169086,0.2671328034310625,0.2505286517308094
descriptors_full_vh,ece,0.1894688061343223,0.0532970120871168,0.1327301795092269,0.1929390857092158,0.1999153325896769
descriptors_full_vh,f1,0.7077963627768434,0.0596368284132887,0.4761904761904761,0.6728971962616822,0.7022086824067022
descriptors_full_vh,f1_negative,0.3425961374858154,0.1307041852100304,0.6597938144329897,0.4776119402985074,0.4308588064046579
descriptors_full_vh,f1_positive,0.7077963627768434,0.0596368284132887,0.4761904761904761,0.6728971962616822,0.7022086824067022
descriptors_full_vh,mce,0.6771530704275532,0.1780531004284081,0.3428759639647864,0.9091288544504432,0.2641868435040307
descriptors_full_vh,pr_auc,0.6916931544966023,0.0383307662970616,0.5378315464631324,0.5751155890377289,0.704898239614693
descriptors_full_vh,precision,0.6006122065501782,0.0864390817453036,0.46875,0.6428571428571429,0.5670356703567035
descriptors_full_vh,roc_auc,0.6287740041908038,0.0817705658553999,0.6227781435154707,0.5299564270152506,0.7332919999999999
descriptors_full_vh,sensitivity,0.8771834382655884,0.0720562309614218,0.4838709677419355,0.7058823529411765,0.922
descriptors_full_vh,specificity,0.249526862026862,0.1006476762573191,0.6530612244897959,0.4444444444444444,0.296
descriptors_cdrh3_pi,accuracy,0.5148772867310621,0.0782279594807454,0.3875,0.5862068965517241,0.501
descriptors_cdrh3_pi,brier,0.2490780738193903,0.0169666326787783,0.2838920253461081,0.2131145013412244,0.2485817924053921
descriptors_cdrh3_pi,ece,0.1705484846495031,0.0363409045801755,0.2629682768958906,0.0953832130910334,0.1811256650563393
descriptors_cdrh3_pi,f1,0.5521201708546147,0.0550377178413446,0.5585585585585585,0.7391304347826086,0.66711140760507
descriptors_cdrh3_pi,f1_negative,0.4626508209018833,0.1238119131394288,0.0,0.0,0.0039920159680638
descriptors_cdrh3_pi,f1_positive,0.5521201708546147,0.0550377178413446,0.5585585585585585,0.7391304347826086,0.66711140760507
descriptors_cdrh3_pi,mce,0.4730687778689504,0.2056463229167024,0.6835354163221445,0.3372745547669018,0.4613489086984114
descriptors_cdrh3_pi,pr_auc,0.6552787060415419,0.064027687334273,0.6286114261159397,0.8167561635173364,0.6896236119491188
descriptors_cdrh3_pi,precision,0.5831665162794195,0.1013958808824523,0.3875,0.5862068965517241,0.5005005005005005
descriptors_cdrh3_pi,roc_auc,0.5563570535507292,0.0835898521580669,0.7156023699802503,0.7660675381263617,0.722154
descriptors_cdrh3_pi,sensitivity,0.5352703103184847,0.0603476943787196,1.0,1.0,1.0
descriptors_cdrh3_pi,specificity,0.4959045584045584,0.1389155336163096,0.0,0.0,0.002
descriptors_cdrh3_top5,accuracy,0.5658508086561003,0.0960266050102338,0.5375,0.5862068965517241,0.622
descriptors_cdrh3_top5,brier,0.2443966963115236,0.0130767487004346,0.2640931014781317,0.2340512056002108,0.2340119090428842
descriptors_cdrh3_top5,ece,0.1871783490708673,0.0472790121795911,0.2084594145473461,0.1485121503394951,0.1281493068056816
descriptors_cdrh3_top5,f1,0.66474410497344,0.1291439744738752,0.5542168674698795,0.6785714285714286,0.6724436741767764
descriptors_cdrh3_top5,f1_negative,0.3230504934133966,0.1080240582687643,0.5194805194805194,0.4193548387096774,0.5531914893617021
descriptors_cdrh3_top5,f1_positive,0.66474410497344,0.1291439744738752,0.5542168674698795,0.6785714285714286,0.6724436741767764
descriptors_cdrh3_top5,mce,0.7733280261469191,0.1124294777521399,0.9464934654789534,0.5580444228642542,0.2474978809291789
descriptors_cdrh3_top5,pr_auc,0.66396633386825,0.0647495928928097,0.5098307270705489,0.7094544986255183,0.6925535741549238
descriptors_cdrh3_top5,precision,0.5805167706294314,0.0938263239489436,0.4423076923076923,0.6229508196721312,0.5932721712538226
descriptors_cdrh3_top5,roc_auc,0.5967355870897778,0.056461433540992,0.6129032258064516,0.6574074074074074,0.7072959999999999
descriptors_cdrh3_top5,sensitivity,0.8233662080819789,0.2061177198784313,0.7419354838709677,0.7450980392156863,0.776
descriptors_cdrh3_top5,specificity,0.2586334961334961,0.1539746562324981,0.4081632653061224,0.3611111111111111,0.468
