split,n_samples,positives,positive_rate,score_mean,score_std
harvey,1000,500,0.5,0.7417166219722858,0.13044881659581042
jain,80,31,0.3875,0.4985701642419181,0.1414959751190003
shehata,87,51,0.5862068965517241,0.6557800709858482,0.14834387796264012
train_cv_oof,501,282,0.562874251497006,0.5592814155443039,0.15222895410341053
