metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.590910773787486,0.05188951369104687,0.5540355677154583,0.625170998632011,0.5896032831737346,0.453125,0.328125,0.578125,0.453125,0.4915254237288136,0.3728813559322034,0.6101694915254238,0.4915254237288136,0.5053110773899848,0.47040971168437024,0.5417298937784522,0.5053110773899848
brier,0.23981670061255378,0.011809502120854182,0.22913258679844242,0.2512965080832795,0.2401136769425372,0.27904464998444756,0.2432964774637578,0.31755005595930696,0.2781345780466363,0.30254325642987046,0.24136240447482601,0.3691807923602461,0.3009041019587035,0.2754206919758358,0.26142712418382386,0.2882071678480244,0.27526431105479976
ece,0.14038879807203128,0.031707150098468966,0.04058598269389245,0.09177799758261306,0.06285490649612491,0.1951904350857202,0.1399673958224746,0.3328271414313404,0.2335498618046135,0.2516383365985918,0.17951723225585403,0.3910070500874973,0.2822298498114151,0.16550543249087946,0.13900167988176476,0.2090866523398794,0.1729381119000684
f1,0.614333893538124,0.05839306383048451,0.5747716776373119,0.6522922938368328,0.6153846153846154,0.46153846153846156,0.29508196721311475,0.6,0.45901639344262296,0.6052631578947368,0.46153846153846156,0.7209302325581395,0.6052631578947368,0.5302593659942363,0.4850187290617004,0.5706467593175523,0.5306704707560628
f1_negative,0.5611531456061729,0.058422858589034524,0.5133796200513576,0.6054671536020173,0.5618983539800437,0.4444444444444444,0.2807017543859649,0.5882352941176471,0.4406779661016949,0.2857142857142857,0.10526315789473684,0.45178091397849446,0.2857142857142857,0.4775641025641026,0.429772526760298,0.5228235161881032,0.47673333333333334
f1_positive,0.614333893538124,0.05839306383048451,0.5747716776373119,0.6522922938368328,0.6153846153846154,0.46153846153846156,0.29508196721311475,0.6,0.45901639344262296,0.6052631578947368,0.46153846153846156,0.7209302325581395,0.6052631578947368,0.5302593659942363,0.4850187290617004,0.5706467593175523,0.5306704707560628
mce,0.45472286371240545,0.15480044547986202,0.16738765071245887,0.8102313969065887,0.3093898581171599,0.7957675657675658,0.35515662457525154,0.7957675657675658,0.7957675657675658,0.6108166278166278,0.49981160652213275,0.8868167194571314,0.6572818966861532,0.369013808939838,0.30594971958031103,0.584380187800314,0.4029053173789208
positive_rate,0.5088485746019992,0.04446746364359588,0.47332421340629277,0.5444596443228454,0.5088919288645691,0.375,0.265625,0.5,0.375,0.4915254237288136,0.3728813559322034,0.6101694915254238,0.4915254237288136,0.3975720789074355,0.3611532625189681,0.4355083459787557,0.3975720789074355
pr_auc,0.6387602969627467,0.06461552810701679,0.564357530462256,0.6675085893516207,0.61726345961988,0.4290639381553223,0.2790786732418715,0.6333300082278747,0.4602991392289575,0.48981136207443265,0.3591077174194735,0.672677775683537,0.5124215916242918,0.4462498739708156,0.3912399622749501,0.5084812806213732,0.4514126658838244
precision,0.5934410661685148,0.06841676279594153,0.54088818369821,0.6350373611927906,0.5892638840377227,0.36585365853658536,0.21949314024390243,0.5121951219512195,0.36363636363636365,0.48936170212765956,0.3488119312436805,0.6326530612244898,0.48936170212765956,0.42592592592592593,0.3801605361433877,0.46925773848806757,0.426438640724355
roc_auc,0.6375840852950694,0.05039108190887096,0.5829356161622778,0.6645194287005025,0.6248948006012329,0.5114583333333333,0.35857824933687005,0.6556528742575254,0.5103219696969697,0.5132183908045977,0.37117054663912286,0.6607574884792626,0.5171501014198783,0.5503730267079432,0.505607815972314,0.5944646028801328,0.5509777760678324
sensitivity,0.6487819497575595,0.09675983852317899,0.5955520880816297,0.6916776315789473,0.6435660999583774,0.625,0.4209429824561403,0.8077380952380953,0.625,0.7931034482758621,0.6296031746031746,0.9285714285714286,0.8,0.7022900763358778,0.6499813432835821,0.7540663436992341,0.7030075187969925
specificity,0.5392304038840416,0.090930839191573,0.4805820895522388,0.5877518438212206,0.5342857142857143,0.35,0.20930232558139536,0.5002659574468082,0.35,0.2,0.06896551724137931,0.34287946428571425,0.19444444444444445,0.37531486146095716,0.3292181553210965,0.422680412371134,0.375
