metric,mean,std
mae,117853580194.46487,263528561406.1177
rmse,1641510419039.9966,3670528126647.705
r2,-1.4067534477498655e+24,3.1455963367508136e+24
spearman,0.19065759413198557,0.06499121081795595
pearson,0.04065698512786496,0.06356584133945907
