feature,coef,abs_coef
CDRH3_pI,0.20043219422052866,0.20043219422052866
CDRH3_hydropathy,0.18285460862592287,0.18285460862592287
CDRH3_charge,0.16292220221384085,0.16292220221384085
CDRH3_net_charge,0.1559146577970918,0.1559146577970918
CDRH3_length,0.13707262936030454,0.13707262936030454
