metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.6555555555555556,0.03126285743728542,0.6180555555555556,0.6903125,0.6548611111111111,0.652,0.588,0.708,0.652
brier,0.22123929532514391,0.019201612128808724,0.2079650651590541,0.23563834818463592,0.22110020682354597,0.2610630997071713,0.22958967907351896,0.2977548636073001,0.2610999012793571
ece,0.1566795452846778,0.044984226582825776,0.046730112842587136,0.1015573158741196,0.0714907772340184,0.1944177781429544,0.1663794622003785,0.2692436297214258,0.21528538356736712
f1,0.637944730439176,0.0481297420321762,0.5963760572242889,0.6825242467347731,0.6394644115574348,0.6390041493775933,0.563864242725073,0.7044534412955465,0.6380316651013015
f1_negative,0.6681068017212418,0.033535769675548256,0.6300268096514745,0.7075360383341837,0.6693017127799736,0.6640926640926641,0.5968992248062015,0.7206186421937195,0.6640316205533597
f1_positive,0.637944730439176,0.0481297420321762,0.5963760572242889,0.6825242467347731,0.6394644115574348,0.6390041493775933,0.563864242725073,0.7044534412955465,0.6380316651013015
mce,0.41572710782943334,0.12818838716151681,0.1262298900258395,0.4207175766454186,0.21908573156340855,0.5459263583962423,0.38193926212912044,0.8594168272068212,0.5630671255964705
positive_rate,0.4916666666666667,0.04202520636263044,0.45555555555555555,0.5277777777777778,0.4930555555555556,0.588,0.528,0.648,0.588
pr_auc,0.6877579074340641,0.07749560869439745,0.6159375957321623,0.7244374648369628,0.6712495744702549,0.7543021923717707,0.6767804264291238,0.8252712327469169,0.7573676321387133
precision,0.660479869602912,0.0616398999530798,0.6070217445560616,0.709576162663585,0.6578947368421053,0.8191489361702128,0.7390865173473868,0.8916175339656498,0.8191489361702128
roc_auc,0.7066610605991975,0.0545546949354307,0.6584146624867442,0.7402293586233231,0.7016591421510681,0.6748893732250182,0.6054897774327123,0.7349689628414274,0.6740531272874122
sensitivity,0.6252056155558476,0.08271491274940809,0.5726058305138091,0.6734149071199466,0.623966816694876,0.5238095238095238,0.4437106717687075,0.6014815366289458,0.5225806451612903
specificity,0.6877059559006155,0.07220831188258897,0.6373565492679065,0.7324378169943723,0.68741576819407,0.8349514563106796,0.7592509920634921,0.9019661125319693,0.8348224970083765
