variant,metric,train_cv_mean,train_cv_std,jain,shehata_curated,harvey
descriptors_full_vh,accuracy,0.6412371134020617,0.0660652362375143,0.625,0.7241379310344828,0.646
descriptors_full_vh,brier,0.230012442343884,0.0244034292957359,0.2215322386639415,0.1853856624431933,0.2341845643299693
descriptors_full_vh,ece,0.14619498813168,0.043871824407466,0.1515916991908049,0.1411092720530095,0.1631896259172421
descriptors_full_vh,f1,0.6881599925306197,0.071934584212505,0.5945945945945946,0.8032786885245902,0.7140549273021002
descriptors_full_vh,f1_negative,0.57191579333926,0.0643045403952298,0.6511627906976745,0.5384615384615384,0.5354330708661418
descriptors_full_vh,f1_positive,0.6881599925306197,0.071934584212505,0.5945945945945946,0.8032786885245902,0.7140549273021002
descriptors_full_vh,mce,0.5416690858051532,0.1942398750208897,0.3678388200623871,0.4433030435376223,0.3003754103523399
descriptors_full_vh,pr_auc,0.667794953713342,0.0971801833087142,0.660973919229495,0.8336661203717002,0.7233821505884354
descriptors_full_vh,precision,0.6221908233395059,0.0924609746056296,0.5116279069767442,0.6901408450704225,0.5989159891598916
descriptors_full_vh,roc_auc,0.676964972347397,0.0631264338010544,0.7139565503620803,0.8246187363834423,0.756062
descriptors_full_vh,sensitivity,0.7775568069191836,0.0639923373952082,0.7096774193548387,0.9607843137254902,0.884
descriptors_full_vh,specificity,0.4999126088067361,0.0781722026515524,0.5714285714285714,0.3888888888888889,0.408
descriptors_cdrh3_pi,accuracy,0.5618556701030928,0.0530702584586958,0.5875,0.735632183908046,0.678
descriptors_cdrh3_pi,brier,0.2531220922703567,0.0204093388693451,0.2430007713081048,0.2017840265776464,0.2231834104130275
descriptors_cdrh3_pi,ece,0.1532303483975257,0.0472912476354304,0.2014929070929368,0.1262090901949163,0.11375827339975
descriptors_cdrh3_pi,f1,0.5256025655004467,0.0714963036720314,0.5925925925925926,0.7766990291262136,0.7040441176470589
descriptors_cdrh3_pi,f1_negative,0.5895840066617078,0.0548801611442225,0.5822784810126582,0.676056338028169,0.6469298245614035
descriptors_cdrh3_pi,f1_positive,0.5256025655004467,0.0714963036720314,0.5925925925925926,0.7766990291262136,0.7040441176470589
descriptors_cdrh3_pi,mce,0.6126294659167169,0.2265023034792329,0.4383701636895434,0.612957312932341,0.3292681990953498
descriptors_cdrh3_pi,pr_auc,0.6232087911783603,0.0908076509830073,0.6261509583022474,0.8187522910717491,0.7051156053391662
descriptors_cdrh3_pi,precision,0.5969311670258738,0.1086088989058571,0.48,0.7692307692307693,0.6513605442176871
descriptors_cdrh3_pi,roc_auc,0.5624159399439927,0.0828688915856888,0.7159315339038841,0.7677015250544663,0.7219540000000001
descriptors_cdrh3_pi,sensitivity,0.4751781708542275,0.0643309123774692,0.7741935483870968,0.7843137254901961,0.766
descriptors_cdrh3_pi,specificity,0.6584966171105512,0.0749719417992806,0.4693877551020408,0.6666666666666666,0.59
descriptors_cdrh3_top5,accuracy,0.6,0.0768100814897512,0.6,0.6551724137931034,0.652
descriptors_cdrh3_top5,brier,0.2398988875656621,0.0201516473971582,0.2480879501109457,0.2245445103830346,0.2260857643017761
descriptors_cdrh3_top5,ece,0.1451925377148609,0.036000935121395,0.1799742253109696,0.0822914651003516,0.1036463769478193
descriptors_cdrh3_top5,f1,0.6603638315997562,0.083163247910489,0.5897435897435898,0.7222222222222222,0.6870503597122302
descriptors_cdrh3_top5,f1_negative,0.5067771724808028,0.0689936075604344,0.6097560975609756,0.5454545454545454,0.6081081081081081
descriptors_cdrh3_top5,f1_positive,0.6603638315997562,0.083163247910489,0.5897435897435898,0.7222222222222222,0.6870503597122302
descriptors_cdrh3_top5,mce,0.6522610943842345,0.2616929669639731,0.4476449275362318,0.8181128698498198,0.2093606241222313
descriptors_cdrh3_top5,pr_auc,0.6438843707681806,0.0932189207549245,0.5363150404459173,0.756543475980356,0.7017978741120436
descriptors_cdrh3_top5,precision,0.5853662312884407,0.0961944024298073,0.4893617021276595,0.6842105263157895,0.6241830065359477
descriptors_cdrh3_top5,roc_auc,0.6331499835092191,0.0640885814514401,0.6293614219881501,0.6835511982570806,0.715604
descriptors_cdrh3_top5,sensitivity,0.7638511405011521,0.071901237641891,0.7419354838709677,0.7647058823529411,0.764
descriptors_cdrh3_top5,specificity,0.4267326409069618,0.0696295537129871,0.5102040816326531,0.5,0.54
