family,accuracy,roc_auc,pr_auc,sensitivity,specificity
influenza,0.5936254980079682,0.6466794380587485,0.6826410373668712,0.725925925925926,0.4396551724137931
hiv,0.596,0.6532923849151311,0.7649403113121498,0.4625850340136054,0.7864077669902912
mouse_iga,0.5927505330490405,0.64937899543379,0.5978989736151814,0.4885844748858447,0.684
