metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.610426447574335,0.08822088345035131,0.5771557719054241,0.6467315716272601,0.614047287899861,0.6294820717131474,0.5737051792828686,0.6853585657370518,0.6254980079681275
brier,0.23554859952694057,0.026184032449014124,0.22349452987499158,0.24720946299621938,0.23498584821066903,0.2241654838059832,0.20435058513620125,0.2402425021280381,0.2231864038815861
ece,0.1522941901965649,0.03435569923025695,0.04235055308199607,0.0942738304151752,0.06667866525666828,0.06239806612010069,0.05693218204011192,0.13729439740197988,0.09660518568000694
f1,0.6070664460601769,0.10583625593837112,0.5688966275659825,0.6489274602612876,0.6142068170840294,0.6618181818181819,0.6029234091406079,0.7240202907869824,0.6618705035971223
f1_negative,0.608630638586716,0.08268814354532887,0.565921508664628,0.6502565801293568,0.6115724435268399,0.5903083700440529,0.5209302325581395,0.6563208305315468,0.5939734642887913
f1_positive,0.6070664460601769,0.10583625593837112,0.5688966275659825,0.6489274602612876,0.6142068170840294,0.6618181818181819,0.6029234091406079,0.7240202907869824,0.6618705035971223
mce,0.5117585904965061,0.2452204603940972,0.3207333129850513,0.8805693581780538,0.8805693581780538,0.154883383786508,0.1526749153218486,0.5159573544677684,0.2528981316838509
positive_rate,0.5089593114241001,0.04304219774759994,0.4700278164116829,0.5438108484005564,0.5097357440890126,0.5378486055776892,0.47808764940239046,0.6016932270916335,0.5378486055776892
pr_auc,0.6707865117313924,0.11150149089194658,0.585643605407264,0.695544876387599,0.6413213456674921,0.7150213504673885,0.6411114516089433,0.805135366582061,0.7209478195011583
precision,0.618230327117711,0.1111527939364009,0.5743398183449203,0.6707063748608977,0.6236411438024341,0.65,0.5760187705683988,0.7321465428276573,0.6474730737365368
roc_auc,0.6619521532021533,0.10324347670804794,0.6180609850591385,0.6952596390247405,0.6582682116287382,0.6821839080459771,0.6250777363184079,0.752122352083736,0.6862978645003044
sensitivity,0.6001259532509533,0.11083342260328027,0.54948188704882,0.6442623226917176,0.6061912225705329,0.674074074074074,0.6013636363636363,0.7464236850106415,0.6718153625954199
specificity,0.6197022047022046,0.09979135509234453,0.5717734343652582,0.6703968635512159,0.6207653105925645,0.5775862068965517,0.49556901827805805,0.6600354330708662,0.5800945378151261
