split,n_samples,positives,positive_rate,score_mean,score_std
harvey,1000,500,0.5,0.6496924246479691,0.14605720357135354
jain,80,31,0.3875,0.4759213149626621,0.13336273010659347
shehata,87,51,0.5862068965517241,0.6315537623069352,0.15529610533562074
train_cv_oof,501,282,0.562874251497006,0.5602325779209175,0.1787356379719128
