family,accuracy,roc_auc,pr_auc,sensitivity,specificity
influenza,0.5744089012517385,0.6151413911648216,0.5792736996396005,0.5525419675153276,0.5678524181582968
hiv,0.6180555555555556,0.6584146624867442,0.6159375957321623,0.5726058305138091,0.6373565492679065
mouse_iga,0.6447105788423154,0.6621798870156056,0.6837877469358102,0.7075812274368231,0.5237824675324676
