variant,metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median,variant_type
vh_full,accuracy,0.647422680412371,0.0444881163785079,0.6195876288659794,0.6783762886597938,0.6484536082474227,0.5625,0.45,0.675,0.5625,0.6551724137931034,0.5632183908045977,0.7471264367816092,0.6551724137931034,0.595,0.565,0.626,0.596,fragment
vh_full,brier,0.2250467486845928,0.0157623876777372,0.214407759973594,0.2350771322612953,0.2244207096804353,0.242796865531425,0.2118629463578109,0.2780599286112856,0.2433886255600365,0.2165016816418584,0.1691227193866299,0.26791181077789,0.2155657793959112,0.2477345611476491,0.2356786479541528,0.2604797010438782,0.247331957562522,fragment
vh_full,ece,0.1321273849426627,0.0250391608343757,0.0489884247159494,0.0983078610660665,0.0710122860026981,0.1445860769824552,0.1147628536169483,0.271136363073383,0.1851711475010208,0.1537134807533031,0.1071574144271522,0.2568608179411478,0.1768228056174525,0.1523826407496743,0.1261706947769821,0.182727537159854,0.1543350986442541,fragment
vh_full,f1,0.6578425437762185,0.0471059418700304,0.6252391435385382,0.6947192286136913,0.661486059348021,0.5569620253164557,0.4062386775362319,0.6666666666666666,0.5526315789473685,0.7619047619047619,0.672566371681416,0.837234952120383,0.763035321516367,0.6924829157175398,0.6645789702988146,0.7196797618690879,0.6933436292338832,fragment
vh_full,f1_negative,0.629930362398282,0.0616493748142067,0.601935576764851,0.6687782735007264,0.6348682035008653,0.5679012345679012,0.4303345388788427,0.6842105263157895,0.5647058823529412,0.375,0.1999019607843137,0.5334328358208954,0.375,0.4070278184480234,0.3624964887640449,0.4510959111407039,0.4087591240875912,fragment
vh_full,f1_positive,0.6578425437762185,0.0471059418700304,0.6252391435385382,0.6947192286136913,0.661486059348021,0.5569620253164557,0.4062386775362319,0.6666666666666666,0.5526315789473685,0.7619047619047619,0.672566371681416,0.837234952120383,0.763035321516367,0.6924829157175398,0.6645789702988146,0.7196797618690879,0.6933436292338832,fragment
vh_full,mce,0.5079404479894256,0.2288667754901395,0.2002454531533631,0.9421630094043888,0.362738682726602,0.3227924611529933,0.3099883962055014,0.8267232495724359,0.5615044752544752,0.4313354044604044,0.3349691703224401,0.6645562708644802,0.4834230489141007,0.2213864367614367,0.2165283486603682,0.4414969715951912,0.2642230257470624,fragment
vh_full,pr_auc,0.7053989048159649,0.0804038844944111,0.6412954739610465,0.7377848063383541,0.6927864752443945,0.5278583152282428,0.3761187845583079,0.6892191507023498,0.54082629402824,0.8047268853263766,0.6894636653378059,0.9049604348486496,0.812975050938147,0.6542793792066878,0.6119298251623917,0.7011899982504025,0.6567616192156085,fragment
vh_full,precision,0.6592896415582128,0.0779420147352519,0.6152306916404738,0.6988111501431173,0.6589310485516116,0.4583333333333333,0.3061224489795918,0.5869884910485934,0.4561403508771929,0.64,0.5324274490941158,0.7466666666666667,0.6410256410256411,0.5581395348837209,0.5262355592909536,0.5925236650485437,0.5585531262217678,fragment
vh_full,roc_auc,0.6923323237479255,0.0535836229827958,0.6573601522328458,0.725224376709184,0.691845735962124,0.6287030941408822,0.5006071254928601,0.7511887855162352,0.6274292929292928,0.7546296296296297,0.6439295623909942,0.8589959050996285,0.7571386104977068,0.684726,0.6510805556000065,0.7168889816095603,0.6863603616350225,fragment
vh_full,sensitivity,0.6637019687966134,0.0611480482163647,0.6227897838899804,0.7091778017156029,0.6646341463414634,0.7096774193548387,0.5383928571428571,0.8709677419354839,0.7142857142857143,0.9411764705882352,0.8695652173913043,1.0,0.9433962264150944,0.912,0.8867915474595299,0.9367594611785016,0.9126016260162602,fragment
vh_full,specificity,0.6324351153428249,0.0879879444288981,0.5909970474973506,0.6746273086776823,0.6328857164865074,0.4693877551020408,0.3333333333333333,0.6000943396226414,0.4666666666666667,0.25,0.1176470588235294,0.3954651162790696,0.25,0.278,0.2412355973317162,0.3181862571022727,0.279412273718459,fragment
cdrh1,accuracy,0.5963902258422806,0.0343056227811727,0.5595075239398085,0.6320109439124487,0.5964432284541724,0.5686274509803921,0.4313725490196078,0.7058823529411765,0.5686274509803921,0.5535714285714286,0.4285714285714285,0.6964285714285714,0.5535714285714286,0.4766558089033659,0.4440825190010857,0.50814332247557,0.4766558089033659,fragment
cdrh1,brier,0.2461541753245069,0.0172594317102702,0.2356859648379749,0.2574912151951979,0.2462393097104284,0.2627306444787314,0.2123820714426509,0.3160646429728458,0.2617446027353541,0.2766772269874412,0.2115972426485693,0.3431176804730191,0.2754345966902203,0.3060823583504088,0.2928943661350406,0.3197699721568836,0.3063279163232359,fragment
cdrh1,ece,0.1406259989004055,0.0409860699898698,0.0503374935843293,0.1023904917564282,0.0759173468830987,0.2468084375994803,0.1735260920878251,0.3779409950476164,0.2700488707413928,0.2586185729572888,0.1751729473181443,0.3890743718442865,0.2723884498236461,0.210008166256384,0.1860209303298709,0.2475088253389996,0.2158424985219478,fragment
cdrh1,f1,0.6231032586769655,0.045759039729796,0.584320598741983,0.6635029913072873,0.625,0.5416666666666666,0.35,0.7059436274509804,0.5454545454545454,0.6753246753246753,0.5428571428571428,0.7901234567901234,0.675,0.5688729874776386,0.5330856113716539,0.6005176876617774,0.5688487326993569,fragment
cdrh1,f1_negative,0.5616166639200526,0.0409861376526066,0.5166396550816093,0.6073093703468454,0.5621301775147929,0.5925925925925926,0.4090677179962894,0.7353328173374614,0.5901639344262295,0.2857142857142857,0.0689655172413793,0.4783733133433282,0.2777777777777778,0.3342541436464088,0.2889487537726455,0.3799661498556896,0.3333333333333333,fragment
cdrh1,f1_positive,0.6231032586769655,0.045759039729796,0.584320598741983,0.6635029913072873,0.625,0.5416666666666666,0.35,0.7059436274509804,0.5454545454545454,0.6753246753246753,0.5428571428571428,0.7901234567901234,0.675,0.5688729874776386,0.5330856113716539,0.6005176876617774,0.5688487326993569,fragment
cdrh1,mce,0.6192021426196754,0.2159135791753531,0.2277593904044408,0.9015692859771808,0.4340963506090508,0.8100290584340899,0.4980147920120717,0.81338997657935,0.8100290584340899,0.8268069693744428,0.5447487777351956,0.8268069693744428,0.8268069693744428,0.4275355039766121,0.3443557512789249,0.5442395234419136,0.435147675579555,fragment
