family,accuracy,roc_auc,pr_auc,sensitivity,specificity
influenza,0.5771557719054241,0.6180609850591385,0.585643605407264,0.54948188704882,0.5717734343652582
hiv,0.6124305555555556,0.6562278605062158,0.6221759261761408,0.574609175520962,0.6333656567550978
mouse_iga,0.6486027944111777,0.6685800825346861,0.689761845917433,0.7122156196943973,0.521494695236114
